from;to;status;distance;time
Palermo;Livorno;OK;883735;49435
Palermo;Nice;OK;1194110;60978
Palermo;Siracusa;OK;260290;10802
Palermo;Piacenza;OK;1034278;53290
Palermo;Bergamo;OK;1122445;56619
Napoli;L'Aquila;OK;230606;8603
Napoli;Catanzaro;OK;407176;16791
Napoli;Potenza;OK;173578;7938
Napoli;Palermo;OK;323386;30910
Napoli;Campobasso;OK;131349;7026
Napoli;Trento;OK;784892;24861
Napoli;Genova;OK;705941;23611
Napoli;Bologna;OK;575841;18806
Napoli;Firenze;OK;471527;15153
Napoli;Venezia;OK;727907;23215
Napoli;Torino;OK;891295;29536
Napoli;Trieste;OK;882672;28157
Napoli;Bari;OK;261044;10815
Napoli;Cagliari;OK;744471;21099
Napoli;Roma;OK;220761;7538
Napoli;Milano;OK;772261;24556
Napoli;Ancona;OK;423806;15305
Napoli;Aosta;OK;956884;31945
Napoli;Perugia;OK;369736;13025
Napoli;Arezzo;OK;415703;13511
Napoli;Grosseto;OK;400538;14564
Napoli;Massa;OK;591541;19004
Napoli;Pistoia;OK;510380;16250
Napoli;Prato;OK;493782;15868
Napoli;Siena;OK;445302;14673
Napoli;Brescia;OK;755361;24244
Napoli;Como;OK;824444;26324
Napoli;Cremona;OK;740489;23776
Napoli;Lecco;OK;824025;26552
Napoli;Lodi;OK;747902;23762
Napoli;Mantova;OK;670581;21559
Napoli;Pavia;OK;761135;24908
Napoli;Sondrio;OK;903583;30226
Napoli;Varese;OK;832491;26629
Napoli;Monza;OK;784449;24954
Napoli;Alessandria;OK;808630;26307
Napoli;Asti;OK;844298;27535
Napoli;Biella;OK;874394;28825
Napoli;Cuneo;OK;846050;29210
Napoli;Novara;OK;825815;27066
Napoli;Verbania;OK;876839;28650
Napoli;Vercelli;OK;856871;28068
Napoli;Bolzano - Bozen;OK;840939;27059
Napoli;Belluno;OK;818908;25901
Napoli;Rovigo;OK;653552;20904
Napoli;Treviso;OK;742784;23746
Napoli;Verona;OK;702910;22579
Napoli;Vicenza;OK;723892;23238
Napoli;Gorizia;OK;853345;27749
Napoli;Pordenone;OK;800367;25149
Napoli;Udine;OK;842586;27040
Napoli;Imperia;OK;822557;28192
Napoli;La Spezia;OK;619570;20077
Napoli;Savona;OK;747178;25213
Napoli;Agrigento;OK;751016;36507
Napoli;Caltanissetta;OK;700547;33369
Napoli;Catania;OK;591264;29018
Napoli;Enna;OK;675183;32514
Napoli;Messina;OK;495675;24879
Napoli;Ragusa;OK;697125;34356
Napoli;Trapani;OK;423435;34855
Napoli;Reggio di Calabria;OK;497866;20256
Napoli;Cosenza;OK;314188;13075
Napoli;Crotone;OK;392680;18033
Napoli;Vibo Valentia;OK;408781;17359
Napoli;Matera;OK;257663;12537
Napoli;Isernia;OK;107493;4533
