from,to,status,distance210913,time210913,distance030813,time030813,distDiff,timeDiff
Perugia,Trento,OK,464748,15146,464672,15624,76,-478
Perugia,Venezia,OK,407763,13500,407161,13834,602,-334
Perugia,Trieste,OK,562529,18443,562426,19192,103,-749
Perugia,Genova,OK,385797,13897,385797,13895,0,2
Perugia,Palermo,OK,693331,43775,1073746,45965,-380415,-2190
Perugia,Catanzaro,OK,757783,28701,760823,28770,-3040,-69
Perugia,Potenza,OK,524185,19848,526649,19895,-2464,-47
Perugia,Campobasso,OK,374601,15327,377063,15429,-2462,-102
Perugia,Bari,OK,567753,21510,568570,21517,-817,-7
Perugia,Ancona,OK,139088,6981,139088,6981,0,0
Perugia,L'Aquila,OK,172160,8129,174487,8166,-2327,-37
Perugia,Cagliari,OK,625993,19227,702067,183220,-76074,-163993
Perugia,Aosta,OK,636740,22231,636632,22712,108,-481
Perugia,Napoli,OK,369853,13053,372316,13099,-2463,-46
Perugia,Bologna,OK,255697,9092,255622,9472,75,-380
Bari,Roma,OK,452514,17006,452527,17014,-13,-8
Bari,Firenze,OK,703335,24629,703674,24636,-339,-7
Bari,Milano,OK,881822,30947,881809,30949,13,-2
Bari,Torino,OK,1000856,35926,1000845,35926,11,0
Bari,Trento,OK,894453,31251,894441,31251,12,0
Bari,Venezia,OK,818568,28746,818031,28699,537,47
Bari,Trieste,OK,973334,33689,973295,34057,39,-368
Bari,Genova,OK,937691,33079,937704,33084,-13,-5
Bari,Palermo,OK,662533,33727,662536,33730,-3,-3
Bari,Catanzaro,OK,349612,16535,349613,16535,-1,0
Bari,Potenza,OK,126656,7250,126664,7250,-8,0
Bari,Campobasso,OK,221924,10400,221925,10400,-1,0
Bari,Perugia,OK,569206,21544,569206,21549,0,-5
Bari,Ancona,OK,467141,16647,467141,16647,0,0
Bari,L'Aquila,OK,413749,15137,396547,15028,17202,109
Bari,Cagliari,OK,976221,30566,1049846,194520,-73625,-163954
Bari,Aosta,OK,1066445,38336,1066401,38338,44,-2
Bari,Napoli,OK,264397,10958,264411,10965,-14,-7
Bari,Bologna,OK,669929,24456,669917,24456,12,0
Ancona,Roma,OK,309490,11638,309503,11623,-13,15
Ancona,Firenze,OK,286388,11788,286714,11788,-326,0
Ancona,Milano,OK,425617,15737,425604,15739,13,-2
Ancona,Torino,OK,544651,20717,544640,20716,11,1
Ancona,Trento,OK,438248,16042,438236,16041,12,1
Ancona,Venezia,OK,362363,13536,361826,13490,537,46
Ancona,Trieste,OK,517129,18479,517090,18847,39,-368
Ancona,Genova,OK,515802,19230,515790,19227,12,3
Ancona,Palermo,OK,740549,47062,1078410,49024,-337861,-1962
Ancona,Catanzaro,OK,764911,31717,765488,31829,-577,-112
Ancona,Potenza,OK,452770,18219,452770,18219,0,0
Ancona,Campobasso,OK,330342,13328,330341,13328,1,0
Ancona,Perugia,OK,141175,7015,141175,7015,0,0
Ancona,Bari,OK,466228,17594,466227,17594,1,0
Ancona,L'Aquila,OK,198048,7869,198001,7868,47,1
Ancona,Cagliari,OK,753757,25134,827368,189081,-73611,-163947
Ancona,Aosta,OK,610240,23126,610196,23129,44,-3
Ancona,Napoli,OK,417070,16339,417064,16339,6,0
Ancona,Bologna,OK,213724,9247,213712,9246,12,1
L'Aquila,Roma,OK,119419,4263,119246,4252,173,11
